LIMIT_BAL,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,GENDER,QUALIFICATION,MARRIED,defaulter,Id
290000.0,50,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,199.0,1440.0,1017,3798.0,4898,199.0,1440.0,1017.0,3798.0,4898,5034.0,FEMALE,2,1.0,0,1
20000.0,49,0.0,0.0,0.0,0.0,,0.0,19773.0,18459.0,19398.0,18561,18949.0,17426,1331.0,1270.0,633.0,655.0,759,547.0,FEMALE,2,3.0,1,2
230000.0,28,0.0,0.0,0.0,0.0,0.0,0.0,20356.0,21504.0,21729.0,23113,22936.0,23378,1676.0,1700.0,2007.0,1000.0,1000,1000.0,FEMALE,1,2.0,0,3
210000.0,31,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8600.0,0.0,4231.0,4221,4221.0,4483,0.0,4231.0,4221.0,4221.0,4483,4300.0,FEMALE,1,1.0,0,4
300000.0,24,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-158.0,-158.0,-158.0,-158,142.0,92,0.0,0.0,0.0,300.0,100,100.0,MALE,2,2.0,0,5
230000.0,24,0.0,0.0,0.0,0.0,0.0,0.0,9167.0,10468.0,10722.0,11543,10058.0,20158,1392.0,2000.0,,0.0,10100,2253.0,FEMALE,2,1.0,0,6
200000.0,36,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4670.0,4670.0,4670.0,4670,4670.0,4670,4670.0,4670.0,4670.0,4670.0,4670,4670.0,MALE,2,1.0,1,7
220000.0,35,0.0,0.0,0.0,0.0,0.0,0.0,212795.0,211043.0,212759.0,218541,167743.0,165300,8909.0,7500.0,,6729.0,6000,7009.0,MALE,1,2.0,1,8
,28,0.0,0.0,0.0,0.0,0.0,0.0,47765.0,47945.0,135167.0,95527,91541.0,92808,3000.0,90527.0,5000.0,3000.0,4000,3000.0,MALE,2,2.0,0,9
230000.0,43,1.0,,-1.0,-1.0,-1.0,-1.0,0.0,0.0,324.0,0,2600.0,3007,0.0,324.0,0.0,2600.0,3407,200.0,FEMALE,3,2.0,1,10
10000.0,43,-1.0,-1.0,-1.0,0.0,0.0,-2.0,1593.0,1928.0,5797.0,7727,4196.0,0,2006.0,5805.0,4013.0,4217.0,4,12700.0,FEMALE,3,2.0,0,11
50000.0,41,0.0,0.0,0.0,0.0,0.0,0.0,19824.0,29311.0,30862.0,26614,,14971,15000.0,10000.0,5000.0,1500.0,800,2000.0,FEMALE,3,2.0,0,12
50000.0,31,0.0,0.0,0.0,0.0,0.0,0.0,48305.0,49726.0,50389.0,30410,30364.0,30063,2500.0,2109.0,1100.0,1100.0,1100,1100.0,FEMALE,1,1.0,0,13
30000.0,24,1.0,3.0,2.0,2.0,2.0,2.0,16368.0,15825.0,15274.0,17018,16608.0,18020,0.0,0.0,,0.0,2000,0.0,FEMALE,2,2.0,0,14
240000.0,32,1.0,2.0,-1.0,-1.0,0.0,0.0,40286.0,38008.0,9497.0,9124,7128.0,2745,14.0,9497.0,9124.0,2000.0,1200,1000.0,MALE,1,2.0,0,15
360000.0,45,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,59.0,,300.0,966,1730.0,0,,300.0,966.0,1730.0,0,969.0,MALE,1,2.0,0,16
240000.0,32,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,2999.0,0,0.0,0,0.0,2999.0,,0.0,0,0.0,FEMALE,1,2.0,0,17
200000.0,39,0.0,,0.0,0.0,0.0,,101254.0,105254.0,121893.0,109647,56157.0,37293,16002.0,30039.0,15019.0,10000.0,10000,8000.0,MALE,3,2.0,0,18
20000.0,30,1.0,2.0,2.0,2.0,2.0,,6313.0,6559.0,7789.0,8505,9212.0,8922,500.0,1500.0,1000.0,1000.0,0,400.0,MALE,2,1.0,1,19
90000.0,43,2.0,0.0,0.0,0.0,0.0,0.0,89875.0,92338.0,87511.0,47796,48306.0,49054,4000.0,4200.0,1700.0,1800.0,2083,1827.0,MALE,2,1.0,1,20
